epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,1022.09,0.60402,0.38451,0.86187,0.97669,1,0.995,0.73726,0.83959,0.34977,0.89628,0.000412749,0.000412749,0.000412749
78,1035.79,0.58536,0.37101,0.85909,0.97883,1,0.995,0.71188,0.75692,0.3068,0.87216,0.000396246,0.000396246,0.000396246
79,1049.6,0.60338,0.37383,0.87461,0.9836,1,0.995,0.72082,0.80522,0.32813,0.88641,0.000379743,0.000379743,0.000379743
80,1063.3,0.59033,0.37699,0.85992,0.98445,1,0.995,0.73712,0.77836,0.33138,0.87155,0.000363239,0.000363239,0.000363239
81,1077.06,0.574,0.37164,0.85927,0.97985,1,0.995,0.73423,0.719,0.3141,0.86923,0.000346736,0.000346736,0.000346736
82,1090.76,0.57419,0.36012,0.86182,0.98241,1,0.995,0.73054,0.90912,0.34456,0.9063,0.000330233,0.000330233,0.000330233
83,1104.66,0.557,0.35503,0.85538,0.97738,1,0.995,0.73177,0.71291,0.32997,0.87142,0.000313729,0.000313729,0.000313729
84,1118.57,0.56001,0.36856,0.85666,0.97566,1,0.995,0.69817,0.74078,0.36271,0.88394,0.000297226,0.000297226,0.000297226
85,1132.29,0.55025,0.34444,0.84602,0.96549,1,0.99456,0.71916,0.71325,0.31603,0.88493,0.000280723,0.000280723,0.000280723
86,1146.18,0.55061,0.35664,0.85938,0.97358,1,0.995,0.72298,0.78761,0.31847,0.89202,0.00026422,0.00026422,0.00026422
87,1160.02,0.55282,0.35608,0.85868,0.97872,1,0.995,0.70698,0.76428,0.29772,0.8807,0.000247716,0.000247716,0.000247716
88,1173.84,0.55637,0.35677,0.85653,0.97794,1,0.995,0.73239,0.83971,0.32534,0.89809,0.000231213,0.000231213,0.000231213
89,1187.65,0.5548,0.35713,0.85743,0.975,1,0.995,0.75483,0.79768,0.31811,0.88557,0.00021471,0.00021471,0.00021471
